"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP-l-P" "ES-l-P" "EP-s-P" "ES-s-P" "EP-l-LR" "ES-l-LR" "EP-s-LR" "ES-s-LR"
"1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"2" 1 1 1 1 1 1 1 1 1 0.992 0.99 0.826 0.998 0.986 0.99 0.82 0.998
"3" 1 1 1 1 1 1 1 1 1 0.832 0.822 0.422 0.962 0.796 0.846 0.424 0.962
"4" 0.968 0.968 0.996 0.994 0.994 0.994 0.988 0.996 0.996 0.47 0.476 0.25 0.806 0.442 0.504 0.25 0.798
"5" 0.918 0.918 0.976 0.962 0.968 0.97 0.944 0.972 0.978 0.276 0.284 0.194 0.642 0.236 0.322 0.188 0.64
"6" 0.746 0.746 0.902 0.858 0.87 0.898 0.87 0.924 0.908 0.154 0.138 0.104 0.496 0.13 0.166 0.1 0.48
"7" 0.6 0.6 0.806 0.75 0.762 0.842 0.788 0.872 0.84 0.098 0.118 0.106 0.332 0.068 0.142 0.106 0.33
"8" 0.406 0.406 0.664 0.582 0.614 0.706 0.672 0.764 0.7 0.09 0.084 0.104 0.256 0.074 0.12 0.094 0.262
"9" 0.33 0.33 0.538 0.448 0.464 0.582 0.526 0.656 0.582 0.074 0.082 0.072 0.186 0.058 0.114 0.062 0.188
"10" 0.296 0.296 0.502 0.426 0.452 0.51 0.514 0.61 0.548 0.06 0.066 0.082 0.224 0.042 0.09 0.066 0.218
"11" 0.244 0.244 0.41 0.344 0.356 0.456 0.434 0.538 0.446 0.062 0.082 0.062 0.158 0.046 0.096 0.06 0.158
"12" 0.19 0.19 0.35 0.284 0.3 0.414 0.394 0.51 0.4 0.04 0.044 0.08 0.138 0.042 0.052 0.07 0.14
"13" 0.15 0.15 0.292 0.248 0.268 0.326 0.318 0.412 0.318 0.044 0.048 0.064 0.142 0.032 0.068 0.06 0.142
"14" 0.154 0.154 0.26 0.232 0.236 0.266 0.284 0.36 0.296 0.046 0.048 0.06 0.158 0.036 0.07 0.052 0.152
"15" 0.136 0.136 0.22 0.186 0.196 0.216 0.242 0.334 0.246 0.024 0.042 0.068 0.092 0.022 0.048 0.058 0.096
"16" 0.142 0.142 0.186 0.16 0.176 0.202 0.228 0.284 0.188 0.044 0.04 0.084 0.092 0.024 0.054 0.078 0.096
"17" 0.106 0.106 0.176 0.146 0.16 0.212 0.21 0.304 0.204 0.03 0.07 0.052 0.098 0.022 0.09 0.048 0.098
"18" 0.134 0.134 0.168 0.148 0.16 0.152 0.208 0.242 0.184 0.02 0.056 0.054 0.086 0.018 0.056 0.054 0.088
"19" 0.106 0.106 0.15 0.13 0.142 0.136 0.166 0.208 0.162 0.046 0.056 0.07 0.078 0.026 0.074 0.06 0.074
"20" 0.096 0.096 0.136 0.124 0.13 0.16 0.21 0.244 0.15 0.054 0.058 0.066 0.076 0.04 0.068 0.058 0.076
"21" 0.078 0.078 0.104 0.096 0.092 0.126 0.176 0.198 0.12 0.024 0.042 0.068 0.064 0.01 0.06 0.06 0.064
"22" 0.08 0.08 0.11 0.098 0.104 0.136 0.156 0.204 0.13 0.042 0.064 0.07 0.1 0.028 0.06 0.07 0.098
"23" 0.08 0.08 0.114 0.108 0.114 0.114 0.15 0.184 0.136 0.032 0.054 0.056 0.07 0.024 0.076 0.05 0.072
"24" 0.092 0.092 0.1 0.098 0.106 0.106 0.122 0.17 0.114 0.038 0.054 0.042 0.062 0.026 0.07 0.04 0.062
"25" 0.056 0.056 0.11 0.094 0.094 0.098 0.13 0.154 0.124 0.034 0.05 0.068 0.068 0.03 0.056 0.056 0.072
