"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "l-P" "s-P" "l-LR" "s-LR"
"1" 1 1 1 0.995 0.998 1 1 0.991 0.994 0.916 0.997 0.93
"2" 0.711 0.815 0.997 0.549 0.561 1 0.999 0.861 0.833 0.432 0.889 0.467
"3" 0.245 0.357 0.876 0.352 0.326 0.989 0.979 0.71 0.536 0.161 0.642 0.165
"4" 0.15 0.235 0.642 0.228 0.225 0.934 0.917 0.529 0.346 0.153 0.434 0.149
"5" 0.111 0.155 0.432 0.172 0.156 0.812 0.796 0.379 0.228 0.111 0.294 0.119
"6" 0.092 0.123 0.293 0.118 0.116 0.672 0.678 0.26 0.156 0.066 0.202 0.071
"7" 0.096 0.108 0.235 0.12 0.099 0.544 0.576 0.228 0.118 0.082 0.151 0.082
"8" 0.068 0.078 0.18 0.083 0.07 0.461 0.512 0.161 0.06 0.038 0.091 0.04
"9" 0.071 0.076 0.154 0.088 0.081 0.379 0.416 0.156 0.06 0.037 0.095 0.036
"10" 0.06 0.07 0.137 0.083 0.08 0.309 0.364 0.144 0.047 0.053 0.071 0.052
"11" 0.054 0.051 0.109 0.06 0.06 0.288 0.34 0.109 0.056 0.035 0.088 0.037
"12" 0.057 0.056 0.094 0.067 0.052 0.267 0.319 0.1 0.055 0.033 0.072 0.032
"13" 0.051 0.054 0.082 0.056 0.058 0.241 0.279 0.09 0.048 0.026 0.064 0.028
"14" 0.049 0.042 0.073 0.046 0.054 0.182 0.24 0.082 0.038 0.028 0.059 0.03
"15" 0.047 0.047 0.083 0.06 0.055 0.175 0.23 0.092 0.039 0.03 0.057 0.033
"16" 0.057 0.053 0.076 0.051 0.038 0.171 0.23 0.069 0.045 0.036 0.057 0.037
"17" 0.053 0.05 0.065 0.044 0.058 0.139 0.186 0.072 0.036 0.031 0.049 0.031
"18" 0.036 0.038 0.059 0.04 0.036 0.153 0.208 0.056 0.039 0.038 0.048 0.037
"19" 0.055 0.055 0.073 0.058 0.051 0.137 0.206 0.08 0.052 0.04 0.063 0.039
"20" 0.057 0.053 0.074 0.056 0.048 0.141 0.178 0.076 0.045 0.034 0.05 0.034
"21" 0.053 0.054 0.064 0.05 0.042 0.155 0.196 0.075 0.054 0.041 0.072 0.042
"22" 0.042 0.042 0.052 0.045 0.052 0.102 0.144 0.054 0.031 0.03 0.042 0.033
"23" 0.051 0.052 0.074 0.056 0.054 0.13 0.168 0.084 0.038 0.023 0.046 0.026
"24" 0.049 0.041 0.056 0.044 0.046 0.114 0.148 0.053 0.027 0.025 0.048 0.029
"25" 0.059 0.047 0.064 0.049 0.058 0.116 0.158 0.061 0.037 0.034 0.049 0.034
