"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"2" 0.04 0.04 0.034 0.035 0.043 0.053 0.049 0.052 0.037 0.024 0.035 0.06 0.048 0.022 0.044 0.053 0.047
"2.083" 0.045 0.045 0.049 0.058 0.085 0.104 0.066 0.072 0.052 0.032 0.061 0.076 0.059 0.027 0.056 0.072 0.061
"2.167" 0.052 0.052 0.064 0.063 0.134 0.197 0.105 0.153 0.063 0.037 0.078 0.089 0.105 0.035 0.068 0.079 0.117
"2.25" 0.09 0.09 0.109 0.077 0.288 0.368 0.195 0.313 0.1 0.062 0.104 0.177 0.156 0.05 0.092 0.17 0.183
"2.333" 0.114 0.114 0.189 0.111 0.42 0.574 0.351 0.498 0.166 0.108 0.139 0.253 0.292 0.094 0.118 0.242 0.345
"2.417" 0.176 0.176 0.361 0.214 0.654 0.791 0.504 0.741 0.319 0.147 0.21 0.406 0.466 0.15 0.19 0.407 0.521
"2.5" 0.242 0.242 0.502 0.287 0.805 0.893 0.659 0.864 0.471 0.226 0.305 0.552 0.605 0.239 0.26 0.559 0.678
"2.583" 0.323 0.323 0.705 0.426 0.903 0.963 0.828 0.949 0.647 0.347 0.374 0.709 0.784 0.354 0.344 0.715 0.84
"2.667" 0.453 0.453 0.818 0.586 0.957 0.987 0.9 0.982 0.765 0.41 0.451 0.8 0.862 0.448 0.432 0.809 0.899
"2.75" 0.557 0.557 0.914 0.729 0.983 0.998 0.958 0.998 0.883 0.589 0.598 0.905 0.937 0.637 0.58 0.909 0.962
"2.833" 0.693 0.693 0.972 0.844 0.996 0.999 0.986 0.999 0.96 0.689 0.675 0.956 0.981 0.732 0.66 0.961 0.988
"2.917" 0.809 0.809 0.991 0.924 1 1 0.995 1 0.987 0.794 0.793 0.983 0.997 0.841 0.781 0.986 0.998
"3" 0.884 0.884 0.994 0.957 1 1 0.995 1 0.987 0.861 0.85 0.985 0.996 0.903 0.849 0.986 0.999
"3.083" 0.934 0.934 1 0.987 1 1 1 1 1 0.933 0.901 0.999 1 0.959 0.883 0.999 1
"3.167" 0.97 0.97 1 0.999 1 1 1 1 1 0.961 0.948 0.998 1 0.98 0.95 0.999 1
"3.25" 0.991 0.991 1 0.999 1 1 1 1 1 0.982 0.976 1 1 0.993 0.969 1 1
"3.333" 0.995 0.995 1 1 1 1 1 1 1 0.992 0.982 1 1 0.997 0.981 1 1
"3.417" 1 1 1 1 1 1 1 1 1 0.999 0.99 1 1 1 0.989 1 1
"3.5" 0.999 0.999 1 1 1 1 1 1 1 0.998 0.996 1 1 0.999 0.997 1 1
"3.583" 0.999 0.999 1 1 1 1 1 1 1 0.999 0.998 1 1 1 0.999 1 1
"3.667" 1 1 1 1 1 1 1 1 1 1 0.999 1 1 1 0.999 1 1
"3.75" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"3.833" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"3.917" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"4" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
