"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"0" 0.069 0.069 0.076 0.075 0.054 0.058 0.051 0.048 0.068 0.025 0.061 0.066 0.062 0.019 0.069 0.058 0.056
"3" 0.066 0.066 0.065 0.064 0.058 0.053 0.038 0.041 0.047 0.025 0.052 0.044 0.068 0.016 0.055 0.042 0.064
"6" 0.08 0.08 0.081 0.076 0.077 0.057 0.043 0.052 0.052 0.032 0.056 0.077 0.06 0.018 0.066 0.073 0.063
"9" 0.106 0.106 0.085 0.083 0.093 0.072 0.06 0.064 0.067 0.045 0.076 0.089 0.062 0.035 0.074 0.078 0.055
"12" 0.104 0.104 0.067 0.083 0.109 0.06 0.041 0.049 0.049 0.041 0.067 0.089 0.051 0.028 0.083 0.074 0.05
"15" 0.13 0.13 0.095 0.098 0.154 0.095 0.068 0.065 0.069 0.074 0.094 0.154 0.067 0.051 0.112 0.133 0.069
"18" 0.17 0.17 0.111 0.124 0.197 0.098 0.086 0.081 0.069 0.091 0.142 0.233 0.073 0.062 0.134 0.205 0.084
"21" 0.178 0.178 0.116 0.123 0.228 0.091 0.09 0.079 0.088 0.098 0.17 0.27 0.086 0.071 0.168 0.245 0.091
"24" 0.204 0.204 0.119 0.13 0.301 0.101 0.086 0.084 0.086 0.167 0.245 0.366 0.076 0.117 0.245 0.311 0.085
"27" 0.279 0.279 0.174 0.195 0.416 0.126 0.133 0.096 0.12 0.216 0.3 0.495 0.103 0.133 0.29 0.464 0.12
"30" 0.325 0.325 0.21 0.226 0.489 0.142 0.147 0.119 0.133 0.265 0.36 0.576 0.108 0.179 0.344 0.542 0.125
"33" 0.359 0.359 0.222 0.239 0.565 0.148 0.159 0.124 0.142 0.332 0.472 0.7 0.101 0.236 0.447 0.655 0.121
"36" 0.444 0.444 0.29 0.311 0.687 0.164 0.201 0.134 0.169 0.44 0.556 0.791 0.14 0.307 0.542 0.76 0.165
"39" 0.486 0.486 0.327 0.374 0.765 0.205 0.235 0.181 0.205 0.521 0.692 0.869 0.15 0.39 0.636 0.838 0.17
"42" 0.565 0.565 0.376 0.441 0.847 0.214 0.286 0.169 0.211 0.656 0.764 0.903 0.199 0.513 0.72 0.885 0.227
"45" 0.632 0.632 0.465 0.505 0.886 0.227 0.323 0.19 0.264 0.713 0.849 0.953 0.224 0.587 0.814 0.933 0.242
"48" 0.703 0.703 0.54 0.589 0.938 0.283 0.386 0.243 0.306 0.816 0.899 0.975 0.246 0.665 0.865 0.971 0.277
"51" 0.765 0.765 0.629 0.684 0.968 0.298 0.473 0.257 0.356 0.884 0.944 0.989 0.281 0.742 0.91 0.983 0.322
"54" 0.829 0.829 0.676 0.73 0.984 0.348 0.501 0.307 0.389 0.932 0.971 0.998 0.316 0.828 0.941 0.996 0.353
"57" 0.883 0.883 0.761 0.815 0.989 0.413 0.566 0.373 0.43 0.961 0.988 1 0.354 0.897 0.976 1 0.388
"60" 0.922 0.922 0.843 0.878 0.996 0.454 0.667 0.419 0.503 0.981 0.992 1 0.401 0.947 0.986 1 0.433
"63" 0.951 0.951 0.871 0.902 0.998 0.493 0.702 0.442 0.516 0.991 0.999 1 0.437 0.971 0.996 1 0.468
"66" 0.976 0.976 0.917 0.955 1 0.538 0.77 0.504 0.573 0.995 1 1 0.486 0.984 0.999 1 0.513
"69" 0.984 0.984 0.952 0.971 1 0.59 0.826 0.56 0.634 0.998 1 1 0.517 0.995 0.999 1 0.564
"72" 0.994 0.994 0.964 0.986 1 0.634 0.891 0.603 0.646 1 1 1 0.572 0.996 1 1 0.613
