"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large Pearson" "chi small Pearson" "chi large LR-m" "chi small LR-m"
"0" 0.051 0.049 0.042 0.043 0.04 0.062 0.061 0.051 0.05 0.036 0.051 0.036
"3" 0.052 0.053 0.053 0.052 0.074 0.05 0.061 0.052 0.045 0.026 0.056 0.027
"6" 0.054 0.042 0.055 0.057 0.059 0.062 0.061 0.056 0.048 0.024 0.045 0.022
"9" 0.075 0.069 0.064 0.066 0.099 0.048 0.049 0.065 0.043 0.04 0.061 0.049
"12" 0.074 0.088 0.051 0.061 0.142 0.051 0.045 0.058 0.06 0.043 0.069 0.047
"15" 0.09 0.111 0.058 0.071 0.176 0.053 0.046 0.068 0.089 0.03 0.094 0.04
"18" 0.128 0.157 0.081 0.087 0.256 0.047 0.043 0.084 0.124 0.053 0.14 0.066
"21" 0.161 0.212 0.098 0.111 0.301 0.062 0.061 0.106 0.184 0.061 0.182 0.074
"24" 0.175 0.244 0.09 0.111 0.342 0.047 0.036 0.089 0.222 0.067 0.22 0.08
"27" 0.21 0.324 0.123 0.141 0.449 0.059 0.038 0.126 0.286 0.092 0.273 0.111
"30" 0.293 0.424 0.168 0.202 0.54 0.065 0.055 0.149 0.385 0.138 0.37 0.162
"33" 0.325 0.507 0.203 0.244 0.594 0.068 0.038 0.181 0.449 0.17 0.436 0.188
"36" 0.368 0.582 0.237 0.256 0.682 0.085 0.043 0.187 0.561 0.21 0.543 0.227
"39" 0.42 0.703 0.298 0.333 0.756 0.085 0.048 0.229 0.653 0.251 0.615 0.272
"42" 0.514 0.765 0.358 0.4 0.805 0.089 0.042 0.285 0.738 0.3 0.702 0.328
"45" 0.555 0.819 0.404 0.449 0.861 0.111 0.046 0.299 0.809 0.35 0.776 0.378
"48" 0.615 0.882 0.465 0.504 0.903 0.089 0.041 0.332 0.859 0.405 0.828 0.431
"51" 0.693 0.927 0.553 0.598 0.935 0.131 0.05 0.382 0.911 0.479 0.869 0.505
"54" 0.738 0.95 0.601 0.657 0.955 0.137 0.047 0.411 0.937 0.502 0.914 0.517
"57" 0.776 0.974 0.641 0.701 0.976 0.155 0.042 0.443 0.962 0.564 0.947 0.584
"60" 0.849 0.987 0.742 0.79 0.985 0.188 0.057 0.517 0.984 0.647 0.975 0.666
"63" 0.891 0.99 0.798 0.84 0.988 0.225 0.072 0.601 0.987 0.696 0.981 0.717
"66" 0.923 0.997 0.852 0.889 0.996 0.254 0.059 0.624 0.995 0.772 0.992 0.787
"69" 0.952 0.994 0.901 0.93 0.997 0.28 0.068 0.654 0.998 0.819 0.996 0.828
"72" 0.963 1 0.929 0.951 0.998 0.299 0.083 0.724 0.998 0.848 0.997 0.852
