"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"0" 0.056 0.056 0.047 0.041 0.05 0.052 0.045 0.043 0.051 0.035 0.045 0.064 0.062 0.026 0.055 0.056 0.053
"1" 0.051 0.051 0.052 0.046 0.059 0.058 0.056 0.057 0.055 0.034 0.064 0.066 0.09 0.025 0.059 0.055 0.084
"2" 0.064 0.064 0.063 0.045 0.058 0.071 0.106 0.068 0.065 0.034 0.083 0.081 0.119 0.028 0.085 0.071 0.102
"3" 0.049 0.049 0.065 0.047 0.061 0.116 0.171 0.135 0.084 0.039 0.099 0.082 0.187 0.024 0.093 0.064 0.137
"4" 0.093 0.093 0.133 0.087 0.083 0.23 0.354 0.264 0.16 0.071 0.139 0.12 0.296 0.048 0.122 0.095 0.209
"5" 0.089 0.089 0.167 0.084 0.077 0.369 0.564 0.437 0.202 0.135 0.25 0.161 0.448 0.074 0.207 0.127 0.359
"6" 0.088 0.088 0.202 0.085 0.095 0.543 0.746 0.623 0.277 0.191 0.335 0.189 0.556 0.096 0.242 0.159 0.447
"7" 0.149 0.149 0.329 0.155 0.132 0.705 0.907 0.784 0.367 0.301 0.466 0.284 0.711 0.162 0.336 0.245 0.617
"8" 0.172 0.172 0.448 0.185 0.172 0.868 0.981 0.921 0.488 0.453 0.618 0.401 0.832 0.258 0.452 0.344 0.738
"9" 0.218 0.218 0.609 0.244 0.229 0.962 0.998 0.978 0.615 0.633 0.77 0.526 0.925 0.361 0.602 0.467 0.873
"10" 0.285 0.285 0.726 0.302 0.271 0.99 1 0.995 0.719 0.754 0.834 0.607 0.943 0.476 0.698 0.558 0.913
"11" 0.377 0.377 0.834 0.372 0.305 0.996 1 0.998 0.807 0.86 0.918 0.74 0.986 0.61 0.812 0.689 0.97
"12" 0.442 0.442 0.929 0.442 0.366 1 1 1 0.896 0.926 0.936 0.829 0.992 0.719 0.861 0.781 0.986
"13" 0.573 0.573 0.977 0.531 0.427 1 1 1 0.931 0.96 0.986 0.898 0.998 0.822 0.939 0.87 0.997
"14" 0.709 0.709 0.992 0.595 0.494 1 1 1 0.969 0.978 0.988 0.956 1 0.888 0.962 0.938 0.999
"15" 0.809 0.809 0.997 0.655 0.558 1 1 1 0.984 0.989 0.997 0.98 1 0.948 0.979 0.968 1
"16" 0.922 0.922 1 0.755 0.658 1 1 1 0.995 0.994 1 0.989 1 0.972 0.991 0.986 1
"17" 0.97 0.97 1 0.808 0.721 1 1 1 1 0.997 1 0.996 1 0.989 0.999 0.996 1
"18" 0.996 0.996 1 0.894 0.808 1 1 1 1 1 1 1 1 0.997 1 1 1
"19" 1 1 1 0.915 0.85 1 1 1 1 1 1 1 1 0.999 1 1 1
"20" 1 1 1 0.951 0.895 1 1 1 1 1 1 1 1 0.998 1 1 1
"21" 1 1 1 0.97 0.928 1 1 1 1 1 1 1 1 0.999 1 1 1
"22" 1 1 1 0.982 0.946 1 1 1 1 1 1 1 1 1 1 1 1
"23" 1 1 1 0.995 0.969 1 1 1 1 1 1 1 1 1 1 1 1
"24" 1 1 1 0.996 0.982 1 1 1 1 1 1 1 1 1 1 1 1
