"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large Pearson" "chi small Pearson" "chi large LR-m" "chi small LR-m"
"0" 0.048 0.041 0.062 0.051 0.036 0.056 0.056 0.064 0.04 0.037 0.051 0.038
"1" 0.057 0.041 0.072 0.06 0.03 0.09 0.1 0.074 0.042 0.026 0.044 0.024
"2" 0.049 0.036 0.082 0.059 0.031 0.124 0.149 0.091 0.04 0.026 0.051 0.025
"3" 0.054 0.065 0.112 0.071 0.042 0.203 0.279 0.135 0.067 0.041 0.069 0.046
"4" 0.075 0.063 0.169 0.092 0.055 0.327 0.421 0.189 0.092 0.038 0.086 0.04
"5" 0.092 0.086 0.226 0.109 0.064 0.444 0.568 0.254 0.139 0.046 0.128 0.051
"6" 0.121 0.11 0.344 0.15 0.082 0.623 0.763 0.373 0.25 0.059 0.207 0.059
"7" 0.134 0.149 0.474 0.183 0.087 0.738 0.872 0.486 0.367 0.064 0.296 0.077
"8" 0.17 0.179 0.591 0.243 0.113 0.882 0.952 0.562 0.507 0.076 0.382 0.085
"9" 0.249 0.217 0.749 0.324 0.139 0.953 0.987 0.703 0.656 0.107 0.504 0.113
"10" 0.283 0.262 0.85 0.349 0.174 0.979 0.996 0.791 0.765 0.124 0.611 0.125
"11" 0.387 0.318 0.932 0.423 0.183 0.995 0.999 0.865 0.89 0.163 0.76 0.166
"12" 0.461 0.385 0.973 0.487 0.223 0.999 1 0.924 0.934 0.183 0.84 0.189
"13" 0.638 0.497 0.992 0.613 0.311 1 1 0.973 0.981 0.271 0.932 0.274
"14" 0.766 0.562 0.998 0.68 0.323 1 1 0.985 0.998 0.298 0.972 0.3
"15" 0.864 0.659 1 0.734 0.38 1 1 0.995 0.999 0.337 0.986 0.338
"16" 0.958 0.769 1 0.824 0.478 1 1 0.998 1 0.421 0.997 0.413
"17" 0.996 0.863 1 0.896 0.564 1 1 1 1 0.482 1 0.469
"18" 0.998 0.935 1 0.924 0.611 1 1 0.999 1 0.57 1 0.568
"19" 1 0.966 1 0.955 0.654 1 1 1 1 0.591 1 0.583
"20" 1 0.991 1 0.968 0.72 1 1 1 1 0.667 1 0.653
"21" 1 1 1 0.986 0.793 1 1 1 1 0.709 1 0.69
"22" 1 1 1 0.998 0.869 1 1 1 1 0.8 1 0.784
"23" 1 1 1 0.998 0.885 1 1 1 1 0.821 1 0.808
"24" 1 1 1 1 0.949 1 1 1 1 0.876 1 0.859
