"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large Pearson" "chi small Pearson" "chi large LR-m" "chi small LR-m"
"2" 1 1 1 0.99 1 1 1 1 1 0.996 1 0.994
"4" 0.396 0.902 0.97 0.33 0.756 1 1 0.986 0.985 0.633 0.955 0.615
"6" 0.153 0.5 0.635 0.135 0.365 0.944 0.979 0.762 0.739 0.295 0.641 0.281
"8" 0.087 0.262 0.32 0.07 0.207 0.741 0.854 0.458 0.425 0.117 0.356 0.127
"10" 0.069 0.181 0.196 0.066 0.131 0.55 0.703 0.296 0.295 0.097 0.224 0.093
"12" 0.077 0.131 0.157 0.083 0.112 0.408 0.559 0.234 0.181 0.072 0.153 0.073
"14" 0.072 0.109 0.117 0.066 0.091 0.312 0.451 0.179 0.139 0.06 0.13 0.061
"16" 0.064 0.086 0.094 0.057 0.081 0.25 0.384 0.134 0.114 0.063 0.096 0.062
"18" 0.059 0.085 0.08 0.054 0.077 0.208 0.336 0.115 0.093 0.052 0.074 0.052
"20" 0.064 0.068 0.074 0.049 0.061 0.175 0.292 0.104 0.074 0.051 0.072 0.054
"22" 0.048 0.054 0.066 0.041 0.066 0.153 0.262 0.087 0.084 0.043 0.082 0.048
"24" 0.058 0.062 0.072 0.052 0.07 0.119 0.215 0.082 0.065 0.036 0.065 0.037
"26" 0.047 0.066 0.051 0.046 0.073 0.122 0.2 0.066 0.064 0.025 0.069 0.028
"28" 0.049 0.05 0.056 0.048 0.048 0.09 0.174 0.066 0.056 0.03 0.056 0.03
"30" 0.052 0.05 0.048 0.043 0.055 0.095 0.145 0.056 0.043 0.028 0.042 0.029
"32" 0.062 0.067 0.06 0.047 0.058 0.1 0.154 0.075 0.063 0.038 0.071 0.038
"34" 0.061 0.059 0.067 0.061 0.061 0.084 0.149 0.077 0.054 0.04 0.057 0.041
"36" 0.048 0.052 0.061 0.049 0.057 0.098 0.148 0.066 0.046 0.04 0.043 0.04
"38" 0.053 0.047 0.052 0.046 0.057 0.075 0.125 0.054 0.046 0.033 0.046 0.03
"40" 0.058 0.051 0.06 0.057 0.052 0.074 0.119 0.067 0.051 0.051 0.06 0.048
"42" 0.057 0.047 0.064 0.055 0.053 0.079 0.118 0.068 0.049 0.041 0.046 0.041
"44" 0.047 0.046 0.056 0.05 0.041 0.065 0.108 0.057 0.052 0.034 0.056 0.036
"46" 0.055 0.043 0.06 0.056 0.054 0.071 0.124 0.068 0.051 0.03 0.057 0.032
"48" 0.06 0.052 0.054 0.057 0.058 0.063 0.121 0.062 0.048 0.04 0.056 0.043
"50" 0.059 0.05 0.059 0.056 0.047 0.064 0.107 0.065 0.06 0.046 0.058 0.049
