"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large" "chi small"
"1" 0.991 1 1 0.955 0.686 1 1 0.998 0.859 0.804
"2" 0.437 0.583 0.892 0.636 0.463 0.863 0.86 0.908 0.49 0.427
"3" 0.372 0.505 0.667 0.536 0.376 0.524 0.522 0.744 0.273 0.223
"4" 0.274 0.393 0.506 0.423 0.312 0.294 0.306 0.555 0.179 0.125
"5" 0.227 0.338 0.435 0.355 0.233 0.201 0.208 0.452 0.118 0.097
"6" 0.194 0.294 0.355 0.3 0.214 0.123 0.133 0.373 0.084 0.061
"7" 0.154 0.221 0.262 0.233 0.165 0.095 0.104 0.269 0.074 0.064
"8" 0.14 0.202 0.221 0.193 0.145 0.079 0.09 0.226 0.069 0.053
"9" 0.125 0.171 0.196 0.174 0.122 0.056 0.061 0.202 0.058 0.063
"10" 0.111 0.147 0.147 0.144 0.109 0.056 0.06 0.164 0.051 0.039
"11" 0.114 0.157 0.153 0.139 0.11 0.056 0.068 0.161 0.057 0.037
"12" 0.107 0.133 0.14 0.134 0.112 0.046 0.051 0.137 0.045 0.042
"13" 0.09 0.122 0.116 0.112 0.091 0.027 0.03 0.121 0.041 0.029
"14" 0.093 0.133 0.119 0.118 0.089 0.037 0.044 0.126 0.05 0.04
"15" 0.087 0.1 0.122 0.112 0.091 0.034 0.037 0.121 0.045 0.04
"16" 0.075 0.085 0.099 0.095 0.075 0.029 0.031 0.095 0.049 0.026
"17" 0.077 0.091 0.09 0.086 0.072 0.032 0.033 0.092 0.044 0.038
"18" 0.079 0.082 0.086 0.083 0.059 0.026 0.029 0.079 0.05 0.03
"19" 0.075 0.087 0.095 0.091 0.066 0.017 0.023 0.086 0.039 0.029
"20" 0.068 0.078 0.082 0.072 0.07 0.022 0.025 0.077 0.031 0.024
"21" 0.069 0.076 0.071 0.068 0.057 0.021 0.021 0.074 0.042 0.028
"22" 0.074 0.093 0.086 0.086 0.066 0.021 0.023 0.077 0.029 0.032
"23" 0.058 0.084 0.069 0.073 0.064 0.009 0.013 0.066 0.038 0.028
"24" 0.059 0.078 0.079 0.073 0.055 0.027 0.031 0.086 0.041 0.027
"25" 0.067 0.078 0.07 0.064 0.057 0.02 0.024 0.063 0.049 0.026
