"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"0" 0.045 0.045 0.045 0.045 0.044 0.053 0.05 0.049 0.052 0.032 0.066 0.068 0.063 0.024 0.071 0.058 0.059
"0.25" 0.051 0.051 0.055 0.05 0.058 0.056 0.067 0.065 0.049 0.03 0.064 0.071 0.064 0.02 0.07 0.064 0.065
"0.5" 0.067 0.067 0.066 0.058 0.095 0.053 0.09 0.064 0.06 0.024 0.067 0.07 0.059 0.014 0.066 0.068 0.062
"0.75" 0.091 0.091 0.102 0.078 0.153 0.073 0.114 0.096 0.083 0.037 0.086 0.107 0.095 0.024 0.082 0.098 0.099
"1" 0.116 0.116 0.137 0.099 0.222 0.083 0.14 0.101 0.099 0.038 0.103 0.149 0.128 0.031 0.102 0.145 0.128
"1.25" 0.137 0.137 0.181 0.129 0.36 0.12 0.197 0.147 0.116 0.067 0.144 0.207 0.174 0.048 0.131 0.194 0.172
"1.5" 0.201 0.201 0.274 0.189 0.466 0.143 0.27 0.197 0.177 0.08 0.173 0.287 0.258 0.072 0.16 0.258 0.269
"1.75" 0.252 0.252 0.351 0.239 0.592 0.209 0.342 0.253 0.237 0.098 0.219 0.363 0.339 0.073 0.214 0.352 0.331
"2" 0.31 0.31 0.473 0.316 0.706 0.298 0.427 0.352 0.304 0.168 0.308 0.503 0.474 0.128 0.291 0.471 0.47
"2.25" 0.37 0.37 0.55 0.373 0.785 0.341 0.494 0.397 0.373 0.188 0.332 0.564 0.557 0.146 0.323 0.537 0.552
"2.5" 0.45 0.45 0.648 0.469 0.854 0.424 0.578 0.487 0.473 0.214 0.416 0.657 0.626 0.167 0.394 0.633 0.623
"2.75" 0.495 0.495 0.705 0.531 0.905 0.509 0.62 0.553 0.539 0.254 0.456 0.707 0.682 0.231 0.446 0.692 0.671
"3" 0.576 0.576 0.786 0.619 0.949 0.556 0.68 0.611 0.632 0.344 0.533 0.805 0.779 0.276 0.53 0.789 0.777
"3.25" 0.655 0.655 0.869 0.705 0.963 0.656 0.76 0.703 0.722 0.401 0.632 0.852 0.838 0.351 0.612 0.839 0.829
"3.5" 0.719 0.719 0.906 0.789 0.985 0.75 0.83 0.794 0.803 0.42 0.685 0.899 0.889 0.369 0.661 0.89 0.887
"3.75" 0.794 0.794 0.932 0.849 0.99 0.786 0.854 0.811 0.861 0.536 0.759 0.922 0.915 0.474 0.746 0.915 0.917
"4" 0.826 0.826 0.957 0.878 0.998 0.853 0.894 0.877 0.897 0.579 0.787 0.948 0.957 0.522 0.772 0.946 0.959
"4.25" 0.863 0.863 0.974 0.92 0.996 0.88 0.929 0.915 0.925 0.617 0.819 0.965 0.952 0.566 0.808 0.962 0.951
"4.5" 0.916 0.916 0.983 0.953 0.999 0.915 0.954 0.934 0.958 0.73 0.874 0.978 0.976 0.682 0.875 0.974 0.977
"4.75" 0.938 0.938 0.992 0.972 0.999 0.946 0.964 0.955 0.979 0.778 0.899 0.987 0.989 0.74 0.896 0.987 0.988
"5" 0.946 0.946 0.992 0.97 1 0.955 0.966 0.966 0.971 0.788 0.903 0.988 0.991 0.735 0.9 0.987 0.989
"5.25" 0.97 0.97 0.993 0.986 1 0.98 0.989 0.982 0.987 0.85 0.939 0.993 0.994 0.821 0.936 0.993 0.992
"5.5" 0.972 0.972 0.999 0.991 1 0.974 0.982 0.978 0.993 0.867 0.928 0.997 0.996 0.832 0.926 0.997 0.996
"5.75" 0.976 0.976 0.999 0.991 1 0.985 0.991 0.987 0.992 0.91 0.937 0.998 0.997 0.887 0.937 0.998 0.996
"6" 0.993 0.993 1 0.998 1 0.995 0.997 0.995 0.999 0.918 0.956 0.998 0.999 0.899 0.952 0.998 0.999
