"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large Pearson" "chi small Pearson" "chi large LR-m" "chi small LR-m"
"0" 0.044 0.046 0.04 0.041 0.045 0.037 0.055 0.048 0.051 0.033 0.057 0.03
"0.25" 0.054 0.054 0.062 0.049 0.055 0.05 0.058 0.058 0.043 0.031 0.055 0.026
"0.5" 0.067 0.067 0.058 0.053 0.065 0.053 0.073 0.051 0.052 0.04 0.062 0.042
"0.75" 0.077 0.122 0.088 0.064 0.152 0.095 0.125 0.068 0.053 0.091 0.062 0.092
"1" 0.098 0.187 0.105 0.066 0.228 0.109 0.132 0.063 0.067 0.099 0.077 0.099
"1.25" 0.115 0.274 0.159 0.107 0.343 0.138 0.179 0.1 0.087 0.164 0.104 0.157
"1.5" 0.165 0.358 0.209 0.123 0.434 0.139 0.176 0.126 0.095 0.202 0.126 0.19
"1.75" 0.232 0.511 0.307 0.172 0.602 0.213 0.253 0.155 0.134 0.314 0.16 0.306
"2" 0.259 0.579 0.371 0.226 0.669 0.251 0.281 0.219 0.156 0.379 0.175 0.36
"2.25" 0.32 0.67 0.44 0.279 0.762 0.308 0.335 0.28 0.201 0.455 0.22 0.448
"2.5" 0.385 0.779 0.558 0.354 0.838 0.352 0.376 0.378 0.278 0.598 0.313 0.58
"2.75" 0.476 0.852 0.667 0.454 0.886 0.383 0.397 0.469 0.33 0.659 0.361 0.646
"3" 0.541 0.894 0.756 0.568 0.94 0.468 0.473 0.579 0.377 0.754 0.413 0.745
"3.25" 0.606 0.93 0.791 0.624 0.964 0.54 0.543 0.645 0.471 0.806 0.486 0.797
"3.5" 0.659 0.958 0.863 0.693 0.982 0.589 0.587 0.711 0.518 0.859 0.536 0.847
"3.75" 0.731 0.973 0.897 0.775 0.987 0.66 0.639 0.801 0.582 0.897 0.584 0.896
"4" 0.768 0.983 0.933 0.836 0.993 0.702 0.676 0.849 0.648 0.936 0.675 0.928
"4.25" 0.847 0.991 0.964 0.877 0.996 0.754 0.72 0.898 0.727 0.953 0.741 0.95
"4.5" 0.886 0.992 0.979 0.935 1 0.78 0.743 0.936 0.773 0.966 0.789 0.965
"4.75" 0.903 0.996 0.978 0.941 0.998 0.84 0.796 0.952 0.796 0.975 0.809 0.969
"5" 0.932 1 0.991 0.965 1 0.858 0.821 0.968 0.852 0.987 0.865 0.986
"5.25" 0.955 0.999 0.997 0.978 1 0.9 0.849 0.981 0.876 0.995 0.88 0.994
"5.5" 0.966 1 0.998 0.986 1 0.912 0.876 0.987 0.9 0.998 0.905 0.997
"5.75" 0.968 0.999 0.996 0.98 1 0.925 0.896 0.986 0.92 0.997 0.933 0.995
"6" 0.981 0.999 0.997 0.995 0.999 0.939 0.906 0.996 0.944 0.997 0.949 0.997
