"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"0" 0.049 0.049 0.049 0.044 0.045 0.049 0.05 0.052 0.046 0.026 0.046 0.052 0.054 0.015 0.055 0.048 0.052
"0.062" 0.052 0.052 0.061 0.054 0.058 0.051 0.06 0.048 0.056 0.033 0.049 0.066 0.051 0.024 0.051 0.059 0.058
"0.125" 0.059 0.059 0.089 0.077 0.055 0.073 0.091 0.074 0.081 0.045 0.082 0.101 0.098 0.032 0.081 0.089 0.099
"0.188" 0.089 0.089 0.128 0.104 0.071 0.131 0.133 0.116 0.108 0.087 0.137 0.174 0.174 0.065 0.154 0.158 0.174
"0.25" 0.102 0.102 0.173 0.12 0.047 0.188 0.198 0.172 0.133 0.135 0.264 0.253 0.269 0.116 0.288 0.239 0.276
"0.312" 0.127 0.127 0.224 0.138 0.075 0.262 0.29 0.248 0.155 0.275 0.423 0.417 0.443 0.24 0.434 0.393 0.458
"0.375" 0.186 0.186 0.315 0.199 0.084 0.402 0.402 0.373 0.21 0.423 0.577 0.555 0.608 0.402 0.61 0.535 0.614
"0.438" 0.229 0.229 0.415 0.259 0.095 0.54 0.534 0.501 0.281 0.659 0.79 0.746 0.791 0.631 0.807 0.725 0.8
"0.5" 0.313 0.313 0.522 0.335 0.107 0.659 0.67 0.641 0.36 0.828 0.874 0.837 0.879 0.812 0.893 0.827 0.884
"0.562" 0.354 0.354 0.622 0.381 0.144 0.78 0.775 0.763 0.398 0.95 0.968 0.929 0.965 0.946 0.966 0.927 0.964
"0.625" 0.497 0.497 0.772 0.511 0.19 0.892 0.884 0.879 0.521 0.99 0.991 0.978 0.988 0.99 0.992 0.971 0.991
"0.688" 0.627 0.627 0.885 0.637 0.267 0.959 0.96 0.95 0.637 0.999 0.994 0.99 0.999 0.999 0.995 0.988 0.999
"0.75" 0.688 0.688 0.932 0.722 0.35 0.987 0.973 0.983 0.727 1 0.999 0.999 1 1 0.999 0.999 1
"0.812" 0.781 0.781 0.977 0.803 0.475 0.998 0.997 0.997 0.793 1 0.997 1 1 1 0.998 1 1
"0.875" 0.86 0.86 0.987 0.869 0.635 1 0.998 1 0.865 1 0.999 1 1 1 0.999 1 1
"0.938" 0.936 0.936 0.999 0.928 0.772 1 1 1 0.928 1 1 1 1 1 1 1 1
"1" 0.965 0.965 0.999 0.972 0.901 1 1 1 0.967 1 0.997 1 1 1 0.996 1 1
"1.062" 0.988 0.988 1 0.989 0.967 1 1 1 0.984 1 0.999 1 1 1 0.999 1 1
"1.125" 0.996 0.996 1 0.994 0.996 1 1 1 0.992 1 0.997 1 1 1 0.997 1 1
"1.188" 0.999 0.999 1 0.999 0.999 1 1 1 0.998 1 0.997 1 1 1 0.996 1 1
"1.25" 1 1 1 1 1 1 1 1 1 1 0.992 1 1 1 0.992 1 1
"1.312" 1 1 1 1 1 1 1 1 1 1 0.999 1 1 1 0.999 1 1
"1.375" 1 1 1 1 1 1 1 1 1 1 0.998 1 1 1 0.998 1 1
"1.438" 1 1 1 1 1 1 1 1 1 1 0.997 1 1 1 0.997 1 1
"1.5" 1 1 1 1 1 1 1 1 1 1 0.999 1 1 1 0.999 1 1
