"KS" "Kuiper" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi large Pearson" "chi small Pearson" "chi large LR-m" "chi small LR-m"
"0" 0.054 0.052 0.047 0.053 0.049 0.041 0.042 0.049 0.041 0.032 0.055 0.032
"0.062" 0.064 0.063 0.053 0.057 0.059 0.092 0.084 0.053 0.05 0.043 0.057 0.043
"0.125" 0.071 0.053 0.083 0.079 0.069 0.142 0.138 0.08 0.059 0.07 0.074 0.065
"0.188" 0.092 0.085 0.105 0.096 0.072 0.245 0.217 0.103 0.117 0.13 0.134 0.13
"0.25" 0.1 0.092 0.14 0.11 0.069 0.338 0.289 0.117 0.208 0.249 0.237 0.249
"0.312" 0.134 0.114 0.189 0.146 0.081 0.495 0.406 0.156 0.344 0.422 0.384 0.423
"0.375" 0.181 0.159 0.285 0.198 0.103 0.626 0.512 0.225 0.517 0.613 0.554 0.615
"0.438" 0.263 0.227 0.377 0.256 0.104 0.749 0.615 0.286 0.737 0.763 0.76 0.768
"0.5" 0.323 0.296 0.488 0.343 0.135 0.859 0.735 0.362 0.903 0.9 0.92 0.906
"0.562" 0.397 0.367 0.602 0.413 0.183 0.911 0.823 0.428 0.964 0.964 0.978 0.966
"0.625" 0.5 0.48 0.721 0.53 0.238 0.969 0.892 0.547 0.995 0.986 0.995 0.988
"0.688" 0.629 0.584 0.838 0.626 0.306 0.992 0.953 0.636 0.999 0.998 0.998 0.998
"0.75" 0.685 0.711 0.899 0.697 0.428 0.993 0.966 0.703 1 1 1 1
"0.812" 0.81 0.805 0.971 0.815 0.588 0.999 0.991 0.815 1 1 1 1
"0.875" 0.881 0.865 0.991 0.875 0.697 1 0.995 0.868 1 1 1 1
"0.938" 0.942 0.949 0.998 0.926 0.87 1 0.998 0.919 1 1 1 1
"1" 0.964 0.98 1 0.954 0.953 1 1 0.949 1 1 1 1
"1.062" 0.988 0.996 1 0.987 0.988 1 1 0.985 1 1 1 1
"1.125" 0.994 0.998 1 0.999 0.999 1 1 0.999 1 1 1 1
"1.188" 1 1 1 1 1 1 1 1 1 1 1 1
"1.25" 1 1 1 1 1 1 1 1 1 1 1 1
"1.312" 1 1 1 1 1 1 1 1 1 1 1 1
"1.375" 1 1 1 1 1 1 1 1 1 1 1 1
"1.438" 1 1 1 1 1 1 1 1 1 1 1 1
"1.5" 1 1 1 1 1 1 1 1 1 1 1 1
