"KS" "K" "AD" "CvM" "W" "ZA" "ZK" "ZC" "Wassp1" "EP large Pearson" "ES large Pearson" "EP small Pearson" "ES small Pearson" "EP large LR-m" "ES large LR-m" "EP small LR-m" "ES small LR-m"
"1: Uniform - Linear" 0.082 0.082 0.063 0.067 0.06 0.055 0.061 0.064 0.061 0.043 0.048 0.05 0.042 0.006 0.029 0.044 0.043
"2: Uniform - Quadratic" 0.045 0.045 0.045 0.045 0.044 0.053 0.05 0.049 0.052 0.032 0.066 0.068 0.063 0.024 0.071 0.058 0.059
"3: Uniform - Uniform+Bump" 0.044 0.044 0.046 0.045 0.043 0.052 0.033 0.065 0.047 0.032 0.051 0.05 0.048 0.024 0.053 0.043 0.048
"4: Uniform - Spikes" 0.049 0.049 0.049 0.044 0.045 0.049 0.05 0.052 0.046 0.026 0.046 0.052 0.054 0.015 0.055 0.048 0.052
"5: Beta(2,2) - Beta(a,a)" 0.04 0.04 0.034 0.035 0.043 0.053 0.049 0.052 0.037 0.024 0.035 0.06 0.048 0.022 0.044 0.053 0.047
"6: Beta(2,2) - Beta(2,a)" 0.033 0.033 0.041 0.034 0.029 0.036 0.041 0.041 0.04 0.031 0.043 0.059 0.049 0.025 0.043 0.048 0.049
"7: Normal - Shift" 0.062 0.062 0.044 0.043 0.049 0.044 0.045 0.041 0.047 0.023 0.039 0.06 0.055 0.019 0.045 0.048 0.054
"8: Normal  - Stretch" 0.041 0.041 0.043 0.047 0.052 0.05 0.062 0.06 0.042 0.029 0.044 0.047 0.055 0.019 0.044 0.037 0.059
"10: Normal  - Outliers large" 0.056 0.056 0.047 0.041 0.05 0.052 0.045 0.043 0.051 0.035 0.045 0.064 0.062 0.026 0.055 0.056 0.053
"11: Normal  - Outliers" 0.055 0.055 0.051 0.058 0.064 0.056 0.044 0.054 0.042 0.02 0.042 0.06 0.055 0.017 0.047 0.049 0.045
"12: Exponential - Gamma" 0.05 0.05 0.047 0.046 0.053 0.068 0.044 0.065 0.056 0.022 0.051 0.049 0.057 0.015 0.058 0.045 0.051
"13: Exponential - Weibull" 0.053 0.053 0.057 0.057 0.056 0.047 0.061 0.06 0.052 0.027 0.054 0.046 0.054 0.019 0.056 0.042 0.05
"14: Exponential - Bump" 0.069 0.069 0.076 0.075 0.054 0.058 0.051 0.048 0.068 0.025 0.061 0.066 0.062 0.019 0.069 0.058 0.056
"17: Exponential - Weibull, estimated" 0.052 0.052 0.048 0.052 0.051 0.048 0.052 0.044 0.057 0.038 0.042 0.055 0.041 0.021 0.053 0.051 0.052
