"KS" "K" "AD" "CvM" "W" "ZA" "ZC" "Wassp1" "chi.large.Pearson" "chi.small.Pearson" "chi.large.LR.m" "chi.small.LR.m"
"1: Uniform - Linear" 0.754 0.564 0.832 0.83 0.517 0.79 0.613 0.835 0.179 0.408 0.203 0.429
"2: Uniform - Quadratic" 0.385 0.779 0.558 0.354 0.838 0.352 0.376 0.378 0.278 0.598 0.313 0.58
"3: Uniform - Uniform+Bump" 0.571 0.882 0.387 0.359 0.871 0.071 0.031 0.305 0.605 0.785 0.561 0.759
"4: Uniform - Spikes" 0.323 0.296 0.488 0.343 0.135 0.859 0.735 0.362 0.903 0.9 0.92 0.906
"5: Beta(2,2) - Beta(a,a)" 0.412 0.854 0.742 0.489 0.881 0.816 0.636 0.621 0.38 0.713 0.47 0.745
"6: Beta(2,2) - Beta(2,a)" 0.769 0.599 0.835 0.817 0.332 0.13 0.086 0.823 0.208 0.436 0.243 0.452
"7: Normal - Shift" 0.781 0.489 0.846 0.823 0.627 0.896 0.851 0.861 0.231 0.429 0.248 0.434
"8: Normal  - Stretch" 0.435 0.858 0.799 0.464 0.851 0.853 0.87 0.863 0.679 0.655 0.593 0.646
"9: Normal  - t" 0.087 0.262 0.32 0.07 0.207 0.741 0.854 0.458 0.425 0.117 0.356 0.127
"10: Normal  - Outliers large" 0.134 0.149 0.474 0.183 0.087 0.738 0.872 0.486 0.367 0.064 0.296 0.077
"11: Normal  - Outliers" 0.09 0.521 0.635 0.13 0.323 0.759 0.895 0.719 0.737 0.092 0.633 0.107
"12: Exponential - Gamma" 0.675 0.42 0.762 0.728 0.619 0.045 0.002 0.819 0.156 0.341 0.237 0.372
"13: Exponential - Weibull" 0.682 0.48 0.782 0.735 0.075 0.843 0.824 0.867 0.349 0.458 0.259 0.438
"14: Exponential - Bump" 0.514 0.765 0.358 0.4 0.805 0.089 0.042 0.285 0.738 0.3 0.702 0.328
"15: Truncated Exponential - Linear" 0.802 0.625 0.872 0.827 0.737 0.036 0.001 0.871 0.251 0.597 0.354 0.648
"16: Normal  - t, estimated" 0.111 0.155 0.432 0.172 0.156 0.812 0.796 0.379 0.228 0.111 0.294 0.119
"17: Exponential - Weibull, estimated" 0.808 0.739 0.889 0.878 0.858 0.287 0.205 0.774 0.24 0.456 0.188 0.504
"18: Trunc Exponential - Linear, estimated" 0.622 0.707 0.785 0.744 0.801 0.394 0.162 0.81 0.16 0.424 0.181 0.438
"19: Exponential - Gamma, estimated" 0.664 0.533 0.85 0.807 0.738 0.103 0.059 0.488 0.222 0.307 0.218 0.347
"20: Normal - Cauchy, estimated" 0.321 0.805 0.129 0.156 0.746 0.135 0.198 0.082 0.465 0.437 0.517 0.452
